Protocolo,data,hora,natureza,situacao,bairro,endereco,numero,detalhe_endereco_acidente,complemento,bairro_cruzamento,num_semaforo,sentido_via,tipo,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,ponto_controle,situacao_placa,velocidade_max_via,mao_direcao,divisao_via1,divisao_via2,divisao_via3
202200186,2022-01-04,,COM VÍTIMA,CANCELADA,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,2200,,EM FRENTE A IMOBILIARIA PAULO MIRANDA,BOA VIAGEM,,,COLISÃO TRASEIRA,3,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
202200189,2022-01-04,,COM VÍTIMA,FINALIZADA,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,,"E, BAIXO DA PASSARELA PROX AO EROPORTO S/T SUB",IMBIRIBEIRA,570,SUBURBIO,COLISÃO TRASEIRA,2,0,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,60 km/h,Única,Faixa contínua,,
202200194,2022-01-04,,COM VÍTIMA,FINALIZADA,CASA AMARELA,RUA MAJOR NEREU GUERRA,,RUA MAJOR AFONSO LEAL,E/F A BIBLIOTECA PUBLICA  - COLISÃO ENTRE AUTO E MOTO - ACIDENTE COM DUAS VÍTIMAS,CASA AMARELA,,CIDADE,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,2,0,Esquina,Bom,Não existe,Incompleta,Seca,Mal conservada,Não existe,Outras,,Única,Faixa seccionada,,
202200196,2022-01-04,,SEM VÍTIMA,FINALIZADA,VASCO DA GAMA,RUA PLANALTO,157,,COMUNIDADE ALTO NOSSA SENHORA DE FÁTIMA,VASCO DA GAMA,,SUBURBIO,CHOQUE,0,0,0,0,0,0,1,0,0,0,0,,Bom,,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,,Dupla,Não existe,,
202200199,2022-01-04,,COM VÍTIMA,FINALIZADA,ILHA DO LEITE,RUA GENERAL JOAQUIM INACIO,,AV FREI MATIAS TEVES,EM FRENTE A FARMACIA INDEPENDENTE,ILHA DO LEITE,,SUBURBIO,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,40 km/h,Dupla,Faixa seccionada,,
202200211,2022-01-04,,COM VÍTIMA,FINALIZADA,IMBIRIBEIRA,AV ANTONIO TORRES GALVAO,360,,E/F A AMERICA FORD,IMBIRIBEIRA,,,COLISÃO COM CICLISTA,1,0,0,1,0,0,0,0,0,1,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Agente,R-6a,,Única,Faixa seccionada,,
202200216,2022-01-04,,COM VÍTIMA,FINALIZADA,IPSEP,AV RECIFE,1810,RUA JEAN EMILE FAVRE,E/F A PADARIA VILA DO PAO / SEMÁFORO 130,IPSEP,130,SUBURBIO,COLISÃO TRASEIRA,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Chuvoso,,Perfeito estado,Molhada,Perfeito estado,Faixa de pedestre,R-6a,,Dupla,Faixa contínua,Faixa seccionada,
202200238,2022-01-05,,COM VÍTIMA,FINALIZADA,DOIS IRMÃOS,RUA MANUEL DE MEDEIROS,450,,EM FRENTE A OFICINA MECANICA,DOIS IRMÃOS,,,COLISÃO LATERAL,1,1,0,0,0,0,1,0,0,1,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não existe,,,Dupla,Faixa contínua,,
202200257,2022-01-05,,COM VÍTIMA,FINALIZADA,CABANGA,VIADUTO CAPITAO TEMUDO,SN,,PROXIMO AO IATE CLUBE,CABANGA,,CIDADE,COLISÃO TRASEIRA,0,2,0,0,0,0,0,0,0,2,0,Viaduto,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,60 km/h,Única,Blocos,,
202200259,2022-01-05,,COM VÍTIMA,CANCELADA,CAXANGÁ,AV CAXANGA,,,E/F AO MUSEU DA ABOLIÇAO PROX AO VIADUTO,CAXANGÁ,,,COLISÃO COM CICLISTA,1,0,0,1,0,0,0,0,0,1,0,,,,,,,,,,,,,
